ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_Meters
6246,3838 - 3797,3838,3797,9,1132.223276254644100
6247,3838 - 3799,3838,3799,10,1333.576134353738300
6248,3838 - 2540,3838,2540,11,1356.619432267866600
6249,3838 - 3798,3838,3798,12,1359.125153037400000
6250,3838 - 3635,3838,3635,13,1725.243114820569200
6251,3838 - 2497,3838,2497,14,2420.649404319410200
6252,3838 - 2561,3838,2561,15,2490.270308299461200
6253,3838 - 4047,3838,4047,16,2503.298962407270700
6254,3838 - 2537,3838,2537,17,2571.798728958364800
6255,3838 - 3294,3838,3294,18,2594.037290734732300
6256,3838 - 1001,3838,1001,19,2597.993135009498000
6257,3838 - 3685,3838,3685,20,2659.824445534578400
6258,3838 - 3291,3838,3291,21,2660.483137670939400
6259,3838 - 2496,3838,2496,22,2757.448159382400300
6260,3838 - 3621,3838,3621,23,2792.877654213401500
6261,3838 - 3455,3838,3455,24,2802.774446734142200
6262,3838 - 3619,3838,3619,25,2929.645729968264300
6263,3838 - 2552,3838,2552,26,2934.941257352564700
6264,3838 - 2501,3838,2501,27,2940.576767610198200
6265,3838 - 2562,3838,2562,28,2990.285054471488800
6266,3838 - 4051,3838,4051,29,3014.131525740978800
6267,3838 - 3390,3838,3390,30,3096.522376151465300
6268,3838 - 2495,3838,2495,31,3136.217558294674700
6269,3838 - 2499,3838,2499,32,3176.134200783340900
6270,3838 - 2571,3838,2571,33,3213.562956428891500
6271,3838 - 2565,3838,2565,34,3269.967977283013200
6272,3838 - 2566,3838,2566,35,3337.156554796435600
6273,3838 - 2569,3838,2569,36,3389.661747200350400
6274,3838 - 3684,3838,3684,37,3447.390934602186500
6275,3838 - 2494,3838,2494,38,3448.768545854451500
6276,3838 - 4050,3838,4050,39,3470.312915742658800
6277,3838 - 2498,3838,2498,40,3610.618145113379300
6278,3838 - 2539,3838,2539,41,3614.399166215320300
6279,3838 - 2568,3838,2568,42,3625.461192391216600
6280,3838 - 2575,3838,2575,43,3739.905122070696500
6281,3838 - 2549,3838,2549,44,3744.622195421412500
6282,3838 - 2502,3838,2502,45,3865.254063345411400
6283,3838 - 4052,3838,4052,46,3900.097610549758900
6284,3838 - 4054,3838,4054,47,4014.839581972143200
6285,3838 - 3660,3838,3660,48,4018.238540044265400
6286,3838 - 3513,3838,3513,49,4057.402364815664000
